(43.61906312, -116.19926566)
(43.61904828, -116.19919809)
(43.61903114, -116.19912424)
(43.61896223, -116.19900755)
(43.61890154, -116.19888072)
(43.61885122, -116.19883007)
(43.61875821, -116.19887718)
(43.61867974, -116.19892023)
(43.6186089, -116.19898068)
(43.61853826, -116.19905345)
(43.61847688, -116.19912614)
(43.61843008, -116.19919703)
(43.61834088, -116.19922286)
(43.61824607, -116.19927365)
(43.61818387, -116.19932337)
(43.61816578, -116.19936522)
(43.61813384, -116.19938977)
(43.61810579, -116.19939447)
(43.6180514, -116.19931373)
(43.61799531, -116.19924936)
(43.61793602, -116.19917868)
(43.61788644, -116.19911583)
(43.61783129, -116.19903128)
(43.61778026, -116.19895329)
(43.6177396, -116.19889387)
